Seller_ID;Seller_Name;Seller_Postal_Code;Seller_City;Country_Code;Seller_Country
d1b65fc7debc3361ea86b5f14c68d2e2;NeuroLabsX;DE-14469;Potsdam;DE;Germany
51a04a8a6bdcb23deccc82b0b80742cf;SwiftLabs;DE-6108;Halle (Saale);DE;Germany
e49c26c3edfa46d227d5121a6b6e4d37;EcoFutures;ES-33003;Oviedo;ES;Spain
1b938a7ec6ac5061a66a3766e0e75f90;HyperHub;DE-6112;Halle (Saale);DE;Germany
a7a9b880c49781da66651ccf4ba9ac38;EliteAI;DE-18069;Rostock;DE;Germany
7b8e8ec35bad4b0ef7e3963650b0a87b;InnovaGlobal;CH-6501;Bellinzona;CH;Switzerland
166e8f1381e09651983c38b1f6f91c11;HorizonHub;CH-3603;Thun;CH;Switzerland
4cf490a58259286ada5ba8525ba9e84a;HyperLogistics;DE-47802;Krefeld;DE;Germany
2ff97219cb8622eaf3cd89b7d9c09824;ElevateEnterprises;DE-34117;Kassel;DE;Germany
8bd0e3abda539b9479c4b44a691be1ec;VisionaryLabs;BE-3603;Genk;BE;Belgium
2078fe5066350e7d220c0ad3a3bbc6c1;PrimeVentures;AT-2704;Wiener Neustadt;AT;Austria
406822777a0b9eb5c50e442dd4cd3ec5;SmartInnovators;DE-79098;Freiburg im Breisgau;DE;Germany
d52cbce9845184537284a23c3bc3da0e;FusionAI;CH-3604;Thun;CH;Switzerland
9c690ceacd5c66731bf443ea810195cb;TurboBuilders;NL-2612;Delft;NL;Netherlands
1f9ab4708f3056ede07124aad39a2554;QuantumSolutionsPro;DE-6112;Halle (Saale);DE;Germany
a81466620e46a6970b22ef40379fdfc9;DataEnterprises;CH-3604;Thun;CH;Switzerland
8444e55c1f13cd5c179851e5ca5ebd00;PrimeGlobal;NL-3311;Dordrecht;NL;Netherlands
0c7533c71df861ec58ad7ff999ed0e8d;BlueLogistics;DE-51375;Leverkusen;DE;Germany
0747d5bb69f0586cc869d8af4c50f93e;UltraBlueprints;FR-57090;Metz;FR;France
7d294cf9a6a69dc6a0c3e540fff0e039;AlphaVentures;CH-1704;Fribourg;CH;Switzerland
b7ba853e9551f4558440881fd3e5c815;NextGenPartners;BE-7713;Mouscron;BE;Belgium
cbbd5ae8f53de5f5097cd8217b529e24;ProSystems;DE-59063;Hamm;DE;Germany
2d50d6282f8aa2257819a77bfaa0efe0;DataPioneers;DE-6110;Halle (Saale);DE;Germany
f410c8873029fcc3809b9df6d0b28914;NovaAI;DE-99084;Erfurt;DE;Germany
7299e27ed73d2ad986de7f7c77d919fa;DataLabs;NL-7813;Emmen;NL;Netherlands
